-10;-7;6;83,9805;87,3821;
-10;-6,6;6;91,3027;89,8217;
-10;-4;6;66,7326;84,8221;
-10;-5,4;6;66,7326;97,2803;
-10;-2,8;6;44,1362;81,5251;
-10;-1;8;81,5251;44,1362;
-10;1,8;8;81,5251;50,1757;
-4;2;8;83,1613;60,8509;
0;3,4;8;90,0161;127,565;
-4;2,8;8;90,0161;85,999;
-10;0,6;8;90,0161;87,8956;
-6;2;8;90,0161;93,251;
-4;3;8;90,0161;93,251;
-4;3,8;8;90,0161;95,6199;
-4;2;8;91,1513;43;
-4;1,2;8;105,383;114,151;
-6;0,2;8;116,909;111,742;
-8;0,4;8;120,086;111,761;
-4;1,4;8;120,086;133,652;
-10;1;8;120,086;125,255;
-10;0;8;120,086;114,624;
-4;1;8;120,086;131,395;
-4;2,2;8;54,75;135,712;
-2;2,8;8;54,75;139,409;
-2;3;8;54,75;58,5;
-6;1;8;63;71,5;
-4;1,8;8;25;42,75;
0;2,4;8;25;52;
-10;2;8;33,75;57,75;
-2;2;8;30,25;63,5;
-6;2;8;38,5;73;
-4;1;8;38,5;82,75;
-10;1,8;8;80;84,5;
-10;2;8;80;84,5;
-2;3,2;8;80;87,25;
-2;2,6;8;80;87,25;
-4;2,8;8;143,176;151,909;
-10;0,4;8;71,8393;116,167;
-6;-0,2;8;71,8393;122,917;
-4;2,4;8;71,8393;75;
-4;2,2;8;77,5;90,3824;
-4;2,6;8;77,5;131,873;
-10;0,6;8;77,5;97,4517;
-4;2;8;82,25;104,044;
-4;1,8;8;82,25;90,5;
-6;1,8;8;86,5;137,415;
0;1,8;8;36,75;54,5;
-2;1,4;8;45,75;123,999;
-4;1,4;8;45,75;123,249;
-4;2,6;8;103,635;117,885;
-2;4,4;8;103,635;99,5514;
-6;3;8;106,411;100,699;
-4;2,4;8;121,288;101,949;
-2;2,2;8;121,288;113,75;
-2;3;8;122,233;128,239;
0;2,8;8;122,233;62,75;
-10;2,4;8;68,5;146,495;
-2;2,4;8;84;147,807;
-4;2,4;8;77,5;103;
0;3,4;8;84;152,021;
-6;1,4;8;84;152,021;
